512	0.25	0.01	0.26	0.76	4.17
768	0.55	0.03	0.58	1.31	5.38
1024	0.93	0.07	1	2.17	5.77
1280	1.45	0.12	1.57	3.34	5.88
1536	2.03	0.21	2.24	4.76	5.99
1792	2.77	0.32	3.09	6.42	6.01
2048	3.55	0.46	4.01	8.39	6.08
2304	4.5	0.65	5.15	10.68	6.04
2560	5.62	0.88	6.5	13.31	6.17
2816	6.74	1.15	7.89	16.24	5.98
3072	9.13	1.51	10.64	19.55	5.90
3328	9.55	1.85	11.4	23.09	5.91
3584	11.02	2.29	13.31	27.06	5.88
3840	12.57	2.8	15.37	31.35	5.84
4096	14.46	3.37	17.83	36.02	5.81
4608	18.48	4.9	23.38	47.19	5.70
5120	23.02	6.52	29.54	69.74	4.80
5632	27.85	8.51	36.36	73.57	5.57
6144	33.92	11.12	45.04	90.79	5.42
6656	39.29	13.94	53.23	107.9	5.40
7168	47.85	17.61	65.46	130.2	5.25
7680	53.66	21.42	75.08	153.1	5.14
8192	63.1	26.05	89.15	179.8	5.08
9216	80.65	37.04	117.69	238.2	4.93
10240	102.8	50.56	153.36	311.7	5.41
11264	127.9	67.12	195.02	393	5.41
12288	157.3	112.2	269.5	509.1	4.83

