512	0.01	0.01	0.02	0.19	16.68
768	0.04	0.03	0.07	0.29	24.31
1024	0.06	0.07	0.13	0.41	30.56
1280	0.09	0.13	0.22	0.58	33.88
1536	0.12	0.22	0.34	0.89	32.02
1792	0.15	0.33	0.48	1.17	32.97
2048	0.18	0.48	0.66	1.59	32.10
2304	0.25	0.68	0.93	2.15	30.02
2560	0.29	0.95	1.24	2.71	30.30
2816	0.33	1.28	1.61	3.44	28.23
3072	0.38	1.53	1.91	4.23	27.28
3328	0.46	1.96	2.42	5.13	26.59
3584	0.61	2.36	2.97	6.4	24.86
3840	0.71	2.89	3.6	7.58	24.14
4096	0.82	3.52	4.34	9.04	23.14
4608	1.05	4.95	6	12.41	21.67
5120	1.35	6.81	8.16	16.64	20.13
5632	1.58	8.79	10.37	21.43	19.11
6144	1.96	11.54	13.5	27.42	17.96
6656	2.16	15.3	17.46	34.87	16.70
7168	2.56	17.73	20.29	41.09	16.65
7680	2.86	23.55	26.41	51.23	15.36
8192	3.27	26.58	29.85	60.35	15.12
9216	3.99	37.88	41.87	84.37	13.93
10240	4.61	51.43	56.04	113.8	14.82
11264	6.17	67.94	74.11	149.4	14.22
12288	8.89	92.75	101.64	212.6	11.57
