512	0.02	0.78	0.8	1.27	4.99
768	0.07	2.53	2.6	3.07	4.59
1024	0.15	5.95	6.1	6.69	3.75
1280	0.28	11.68	11.96	12.49	3.15
1536	0.35	20.25	20.6	21.12	2.70
1792	0.49	31.77	32.26	33.02	2.34
2048	0.69	47.71	48.4	49.07	2.08
2304	0.94	67.67	68.61	69.13	1.87
2560	1.11	92.84	93.95	94.61	1.74
2816	1.27	123.4	124.67	125.5	1.55
3072	1.76	160.6	162.36	162.8	1.42
3328	1.93	203.8	205.73	206.4	1.32
3584	2.32	254.5	256.82	257.5	1.24
3840	2.68	312.9	315.58	316.5	1.16
4096	3.17	380.5	383.67	384.8	1.09
4608	4.08	542.2	546.28	547.1	0.98
5120	4.82	746.1	750.92	751.8	0.89
