512	0.01	0.01	0.02	0.25	12.68
768	0.04	0.05	0.09	0.3	23.50
1024	0.06	0.12	0.18	0.41	30.56
1280	0.12	0.14	0.26	0.53	37.08
1536	0.16	0.25	0.41	0.68	41.91
1792	0.3	0.38	0.68	0.94	41.04
2048	0.31	0.53	0.84	1.16	44.00
2304	0.47	0.76	1.23	1.5	43.03
2560	0.59	1.03	1.62	1.88	43.68
2816	0.75	1.34	2.09	2.33	41.67
3072	0.94	1.73	2.67	2.93	39.39
3328	0.98	2.13	3.11	3.42	39.88
3584	1.18	2.59	3.77	4.07	39.09
3840	1.32	3.09	4.41	4.79	38.20
4096	1.69	3.75	5.44	5.69	36.77
4608	2.02	5.39	7.41	7.78	34.56
5120	2.42	7.45	9.87	10.33	32.43
5632	3.18	10.26	13.44	13.68	29.94
6144	3.66	13.42	17.08	17.46	28.21
6656	4.35	17.18	21.53	21.97	26.51
7168	5.02	22	27.02	27.46	24.91
7680	5.86	27.25	33.11	33.48	23.50
8192	6.75	33.45	40.2	40.65	22.45
