512	0.01	0.15	0.16	0.56	5.66
768	0.02	0.44	0.46	1.47	4.80
1024	0.03	1.02	1.05	3.27	3.83
1280	0.05	1.96	2.01	6.15	3.20
1536	0.07	3.34	3.41	10.36	2.75
1792	0.09	5.31	5.4	16.32	2.36
2048	0.12	7.88	8	24.26	2.10
2304	0.17	11.24	11.41	34.37	1.88
2560	0.21	15.61	15.82	47.29	1.74
2816	0.3	20.67	20.97	62.89	1.54
3072	0.32	26.57	26.89	80.85	1.43
3328	0.37	33.74	34.11	103	1.32
3584	0.45	42.18	42.63	128.3	1.24
3840	0.51	52.29	52.8	158.1	1.16
4096	0.58	63.06	63.64	191	1.10
4608	0.74	89.91	90.65	265.2	1.01
5120	0.92	124.3	125.22	368.3	0.91
5632	1.12	165.9	167.02	489.3	0.84
6144	1.34	215.7	217.04	647.6	0.76
6656	1.56	275.8	277.36	823.5	0.71
7168	1.83	343.7	345.53	1026.1	0.67
7680	2.05	422	424.05	1265.9	0.62
8192	2.35	512.4	514.75	1543.2	0.59
9216	2.95	739.9	742.85	2202.3	0.53
10240	3.71	1013	1016.71	3043	0.55
11264	4.45	1336	1340.45	4023	0.53
12288	5.31	1732	1737.31	5214	0.47
13312	6.23	2207	2213.23	6642	0.46
14336	7.17	2756	2763.17	8292	0.42
