512	0.02	0.35	0.37	0.65	4.88
768	0.06	1.29	1.35	1.58	4.46
1024	0.1	3.03	3.13	3.36	3.73
1280	0.14	5.86	6	6.24	3.15
1536	0.18	10.04	10.22	10.5	2.71
1792	0.29	15.83	16.12	16.4	2.35
2048	0.4	23.58	23.98	24.26	2.10
2304	0.48	33.48	33.96	34.32	1.88
2560	0.56	46.28	46.84	47.18	1.74
2816	0.71	61.71	62.42	62.72	1.55
3072	0.82	80.15	80.97	81.37	1.42
3328	1.07	101.9	102.97	103.2	1.32
3584	1.21	127.4	128.61	128.9	1.23
3840	1.44	156.5	157.94	158.4	1.16
4096	1.64	190.1	191.74	192.1	1.09
4608	2.11	272.3	274.41	274.6	0.98
5120	2.66	373.3	375.96	376.2	0.89
5632	3.17	497.7	500.87	501.2	0.82
6144	3.82	649.3	653.12	653.4	0.75
6656	4.45	829.4	833.85	834.2	0.70
7168	5.17	1037	1042.17	1043	0.66
7680	6.09	1275	1281.09	1282	0.61
8192	6.73	1549	1555.73	1556	0.59
