512	    0.4	    0.01	0.41	0.46	6.89
768	    0.72	0.04	0.76	0.8  	8.81
1024	1.17	0.08	1.25	1.29	9.71
1280	1.7	    0.15	1.85	1.91	10.29
1536	2.4	    0.23	2.63	2.66	10.71
1792	3.15	0.35	3.5  	3.57	10.81
2048	4.05	0.52	4.57	4.6	    11.10
2304	5.05	0.71	5.76	5.79	11.15
2560	6.12	0.95	7.07	7.2   	11.40
2816	7.52	1.27	8.79	8.82	11.01
3072	8.9	    1.58	10.48	10.52	10.97
3328	10.26	1.99	12.25	12.38	11.02
3584	11.87	2.48	14.35	14.38	11.06
3840	13.69	3.07	16.76	16.84	10.87
4096	15.7	3.66	19.36	19.48	10.74
4608	20.27	5.1	    25.37	25.44	10.57
5120	25.67	7	    32.67	32.88	10.19
5632	32.93	9.05	41.98	42.04	9.74
6144	39.42	11.8	51.22	51.59	9.55
6656	49.95	14.75	64.7	64.61	9.01
7168	57.39	18.48	75.87	75.81	9.02
7680	67.21	22.33	89.54	89.98	8.74
8192	77.62	27.82	105.44	105	    8.69
