512	    0.23	0.01	0.24	0.65	6.50
768	    0.53	0.03	0.56	1.29	7.29
1024	0.94	0.07	1.01	2.19	7.63
1280	1.47	0.13	1.6    	3.38	7.75
1536	2.07	0.21	2.28	4.79	7.93
1792	2.78	0.31	3.09	6.47	7.95
2048	3.6	    0.46	4.06	8.48	8.03
2304	4.36	0.65	5.01	10.82	7.95
2560	5.65	0.88	6.53	13.42	8.16
2816	6.84	1.15	7.99	16.36	7.91
3072	8.25	1.48	9.73	19.75	7.79
3328	9.72	1.86	11.58	23.46	7.75
3584	11.25	2.32	13.57	27.41	7.74
3840	12.81	2.81	15.62	31.76	7.68
4096	14.46	3.4	    17.86	36.56	7.63
4608	18.57	4.8	    23.37	48.6	7.38
5120	24.56	6.74	31.3	63.35	7.05
5632	30.16	8.91	39.07	79.07	6.91
6144	37.12	11.49	48.61	99.01	6.63
6656	43.72	14.4	58.12	117.7	6.60
7168	52.15	17.98	70.13	142.1	6.42
7680	56.76	21.56	78.32	157.3	6.67
8192	71.75	26.75	98.5	200.2	6.08
9216	100.4	38.23	138.63	272.8	5.74
10240	124.6	51.41	176.01	340.5	6.60
