512	0.02	0.24	0.26	0.59	5.37
768	0.03	0.63	0.66	1.52	4.64
1024	0.06	1.52	1.58	3.28	3.82
1280	0.08	2.91	2.99	6.14	3.20
1536	0.14	5.02	5.16	10.41	2.74
1792	0.17	7.95	8.12	16.29	2.37
2048	0.22	11.8	12.02	24.16	2.11
2304	0.27	16.89	17.16	34.31	1.88
2560	0.33	23.14	23.47	46.91	1.75
2816	0.43	31.1	31.53	62.85	1.54
3072	0.51	40.28	40.79	81.63	1.41
3328	0.53	51.52	52.05	103.7	1.32
3584	0.65	63.59	64.24	128.4	1.24
3840	0.75	78.29	79.04	158.5	1.15
4096	0.83	94.53	95.36	191.1	1.09
4608	1.12	135.3	136.42	273.2	0.98
5120	1.39	186.3	187.69	375.8	0.89
5632	1.54	248.3	249.84	500.6	0.82
6144	1.93	325.2	327.13	654.2	0.75
6656	2.25	412.3	414.55	829.5	0.70
7168	2.59	514.9	517.49	1035.3	0.66
7680	3.02	636.5	639.52	1279.6	0.61
8192	3.46	773.5	776.96	1554.4	0.59
9216	4.32	1103	1107.32	2216	0.53
10240	5.41	1516	1521.41	3044	0.55
11264	6.57	2016	2022.57	4046	0.53
12288	7.56	2616	2623.56	5248	0.47
