512	0.01	0.01	0.02	0.166	19.10
768	0.02	0.03	0.05	0.25	28.20
1024	0.04	0.06	0.1	0.45	27.84
1280	0.05	0.14	0.19	0.68	28.90
1536	0.08	0.23	0.31	1.07	26.64
1792	0.11	0.34	0.45	1.56	24.73
2048	0.14	0.49	0.63	2.09	24.42
2304	0.17	0.71	0.88	2.81	22.97
2560	0.2	0.95	1.15	3.66	22.43
2816	0.23	1.23	1.46	4.67	20.79
3072	0.28	1.57	1.85	5.94	19.43
3328	0.4	1.97	2.37	7.42	18.38
3584	0.46	2.44	2.9	8.95	17.78
3840	0.48	2.99	3.47	10.82	16.91
4096	0.55	3.31	3.86	11.85	17.65
4608	0.72	5.09	5.81	17.73	15.17
5120	1.03	7.06	8.09	23.92	14.01
5632	1.23	9.12	10.35	31.02	13.20
6144	1.46	11.94	13.4	39.89	12.35
6656	1.66	15.05	16.71	49.78	11.70
7168	1.98	18.68	20.66	61.65	11.10
7680	2.17	22.04	24.21	73.44	10.71
8192	2.42	25.45	27.87	86.7	10.52
9216	3.01	36.77	39.78	119.4	9.84
10240	3.23	51.65	54.88	161.3	10.46
11264	4	67.81	71.81	217	9.79
12288	4.49	88.41	92.9	283.1	8.69
13312	5.26	110.42	115.68	349.9	8.80
14336	7.27	133.2	140.47	420.4	8.25
