512	0.01	0.01	0.02	0.27	15.65
768	0.03	0.03	0.06	0.29	32.41
1024	0.05	0.07	0.12	0.44	37.97
1280	0.1	0.14	0.24	0.68	38.53
1536	0.16	0.26	0.42	1.02	37.25
1792	0.19	0.35	0.54	1.33	38.68
2048	0.25	0.51	0.76	1.74	39.11
2304	0.33	0.71	1.04	2.3	37.42
2560	0.42	1.02	1.44	3.11	35.20
2816	0.51	1.24	1.75	3.78	34.25
3072	0.61	1.61	2.22	4.71	32.67
3328	0.75	2	2.75	5.79	31.41
3584	0.81	2.47	3.28	6.87	30.88
3840	0.98	2.99	3.97	8.25	29.58
4096	1.08	3.71	4.79	9.71	28.73
4608	1.19	5.16	6.35	13.21	27.14
5120	1.62	7.19	8.81	18.02	24.79
5632	1.95	9.65	11.6	23.54	23.20
6144	2.37	12.5	14.87	29.8	22.04
6656	2.79	15.91	18.7	37.57	20.67
7168	3.22	20.03	23.25	46.62	19.57
7680	3.94	24.31	28.25	56.91	18.43
8192	4.42	29.96	34.38	68.8	17.68
9216	5.34	42.43	47.77	96.39	16.26
10240	6.52	57.91	64.43	130.6	17.22
