512	0.76	0.02	0.78	0.85	7.46
768	1.3	0.06	1.36	1.45	9.72
1024	2.02	0.14	2.16	2.19	11.44
1280	2.86	0.25	3.11	3.46	11.36
1536	4.09	0.42	4.51	4.78	11.92
1792	5.42	0.65	6.07	6.37	12.11
2048	7.02	0.86	7.88	8.36	12.21
2304	8.74	1.26	10	10.43	12.38
2560	10.71	1.83	12.54	12.93	12.70
2816	13.04	2.26	15.3	15.59	12.46
3072	15.48	3.07	18.55	18.91	12.21
3328	18.79	3.79	22.58	22.58	12.08
3584	21.58	4.75	26.33	26.46	12.03
3840	24.75	5.77	30.52	31.16	11.75
4096	28.44	6.89	35.33	35.44	11.81
4608	36.96	9.78	46.74	46.87	11.47
5120	48.16	13.55	61.71	61.87	10.83

