liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.01	0.01	0.02	0
768	0.04	0.05	0.09	0
1024	0.06	0.12	0.18	0
1280	0.12	0.14	0.26	0
1536	0.16	0.25	0.41	0
1792	0.3	0.38	0.68	0
2048	0.31	0.53	0.84	0
2304	0.47	0.76	1.23	0
2560	0.59	1.03	1.62	0
2816	0.75	1.34	2.09	0
3072	0.94	1.73	2.67	0
3328	0.98	2.13	3.11	0
3584	1.18	2.59	3.77	0
3840	1.32	3.09	4.41	0
4096	1.69	3.75	5.44	0
4608	2.02	5.39	7.41	0
5120	2.42	7.45	9.87	0
5632	3.18	10.26	13.44	0
6144	3.66	13.42	17.08	0
6656	4.35	17.18	21.53	0
7168	5.02	22	27.02	0
7680	5.86	27.25	33.11	0
8192	6.75	33.45	40.2	0

