liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.01	0.02	0.03	0
768	0.06	0.06	0.12	0
1024	0.1	0.13	0.23	0
1280	0.18	0.25	0.43	0
1536	0.27	0.45	0.72	0
1792	0.51	0.74	1.25	0
2048	0.63	1.12	1.75	0
2304	0.84	1.55	2.39	0
2560	1.23	2.02	3.25	0
2816	1.41	2.67	4.08	0
3072	1.68	3.71	5.39	0
3328	1.88	4.63	6.51	0
3584	2.29	5.64	7.93	0
3840	2.71	7.17	9.88	0
4096	3.24	8.61	11.85	0
4608	4.21	12.44	16.65	0
5120	4.99	17.2	22.19	0

