liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	53.00	1.00	27.00	15.65
768	38.33	1.00	19.67	32.41
1024	41.80	0.86	17.92	37.97
1280	32.00	0.86	13.83	38.53
1536	28.44	0.73	11.29	37.25
1792	32.37	0.83	11.93	38.68
2048	32.48	0.84	11.25	39.11
2304	30.94	0.86	10.40	37.42
2560	30.79	0.80	9.55	35.20
2816	29.78	0.89	9.31	34.25
3072	29.48	0.85	8.72	32.67
3328	28.28	0.87	8.35	31.41
3584	30.25	0.87	8.12	30.88
3840	28.61	0.88	7.72	29.58
4096	29.34	0.85	7.28	28.73
4608	34.30	0.87	7.14	27.14
5120	30.78	0.85	6.35	24.79
5632	30.99	0.83	5.90	23.20
6144	30.40	0.83	5.55	22.04
6656	30.15	0.82	5.20	20.67
7168	30.37	0.82	4.91	19.57
7680	28.02	0.82	4.61	18.43
8192	28.98	0.81	4.44	17.68
9216	30.00	0.82	4.08	16.26
10240	35.05	0.89	4.35	17.22

