liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.01	0.01	0.02	0
768	0.02	0.03	0.05	0
1024	0.04	0.06	0.1	0
1280	0.05	0.14	0.19	0
1536	0.08	0.23	0.31	0
1792	0.11	0.34	0.45	0
2048	0.14	0.49	0.63	0
2304	0.17	0.71	0.88	0
2560	0.2	0.95	1.15	0
2816	0.23	1.23	1.46	0
3072	0.28	1.57	1.85	0
3328	0.4	1.97	2.37	0
3584	0.46	2.44	2.9	0
3840	0.48	2.99	3.47	0
4096	0.55	3.31	3.86	0
4608	0.72	5.09	5.81	0
5120	1.03	7.06	8.09	0
5632	1.23	9.12	10.35	0
6144	1.46	11.94	13.4	0
6656	1.66	15.05	16.71	0
7168	1.98	18.68	20.66	0
7680	2.17	22.04	24.21	0
8192	2.42	25.45	27.87	0
9216	3.01	36.77	39.78	0
10240	3.23	51.65	54.88	0
11264	4	67.81	71.81	0
12288	4.49	88.41	92.9	0
13312	5.26	110.42	115.68	0
14336	7.27	133.2	140.47	0

