liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	53.00	1.00	27.00	16.68
768	28.75	1.00	16.86	24.31
1024	34.83	0.86	16.54	30.56
1280	35.56	0.92	15.09	33.88
1536	37.92	0.86	13.94	32.02
1792	41.00	0.88	13.42	32.97
2048	45.11	0.90	12.95	32.10
2304	40.84	0.90	11.63	30.02
2560	44.59	0.86	11.09	30.30
2816	46.03	0.86	10.12	28.23
3072	47.32	0.90	10.13	27.28
3328	46.11	0.89	9.48	26.59
3584	40.16	0.91	8.97	24.86
3840	39.49	0.91	8.52	24.14
4096	38.65	0.90	8.03	23.14
4608	38.88	0.91	7.56	21.67
5120	36.94	0.90	6.86	20.13
5632	38.25	0.92	6.60	19.11
6144	36.76	0.90	6.11	17.96
6656	38.94	0.86	5.57	16.70
7168	38.20	0.92	4.32	16.65
7680	38.60	0.85	4.37	15.36
8192	39.18	0.92	3.64	15.12
9216	40.15	0.91	4.65	13.93
10240	49.57	1.00	5.00	14.82
11264	38.87	1.01	4.16	14.22
12288	36.46	0.94	4.04	11.57

