liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.01	0.01	0.02	0
768	0.03	0.03	0.06	0
1024	0.05	0.07	0.12	0
1280	0.1	0.14	0.24	0
1536	0.16	0.26	0.42	0
1792	0.19	0.35	0.54	0
2048	0.25	0.51	0.76	0
2304	0.33	0.71	1.04	0
2560	0.42	1.02	1.44	0
2816	0.51	1.24	1.75	0
3072	0.61	1.61	2.22	0
3328	0.75	2	2.75	0
3584	0.81	2.47	3.28	0
3840	0.98	2.99	3.97	0
4096	1.08	3.71	4.79	0
4608	1.19	5.16	6.35	0
5120	1.62	7.19	8.81	0
5632	1.95	9.65	11.6	0
6144	2.37	12.5	14.87	0
6656	2.79	15.91	18.7	0
7168	3.22	20.03	23.25	0
7680	3.94	24.31	28.25	0
8192	4.42	29.96	34.38	0
9216	5.34	42.43	47.77	0
10240	6.52	57.91	64.43	0

