liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	53.00	0.50	18.00	13.78
768	19.17	0.50	9.83	23.90
1024	20.90	0.46	9.35	33.41
1280	17.78	0.48	7.72	39.70
1536	16.85	0.42	6.58	43.51
1792	12.06	0.39	5.15	41.48
2048	12.89	0.38	4.89	43.62
2304	12.15	0.39	4.53	42.61
2560	10.51	0.41	4.23	43.91
2816	10.77	0.41	3.99	41.23
3072	10.70	0.37	3.59	38.09
3328	11.28	0.38	3.53	37.12
3584	10.70	0.38	3.36	36.20
3840	10.35	0.37	3.10	34.96
4096	9.78	0.37	2.94	33.15
4608	9.70	0.36	2.72	31.21
5120	9.99	0.36	2.52	28.50

