liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	53.00	1.00	27.00	12.68
768	28.75	0.60	13.11	23.50
1024	34.83	0.50	11.94	30.56
1280	26.67	0.86	12.77	37.08
1536	28.44	0.76	11.56	41.91
1792	20.50	0.76	9.47	41.04
2048	26.19	0.81	10.18	44.00
2304	21.72	0.80	8.80	43.03
2560	21.92	0.80	8.49	43.68
2816	20.25	0.82	7.79	41.67
3072	19.13	0.79	7.25	39.39
3328	21.64	0.82	7.38	39.88
3584	20.76	0.83	7.07	39.09
3840	21.24	0.85	6.95	38.20
4096	18.75	0.85	6.41	36.77
4608	20.21	0.84	6.12	34.56
5120	20.61	0.82	5.67	32.43
5632	19.01	0.78	5.10	29.94
6144	19.69	0.78	4.83	28.21
6656	19.34	0.76	4.52	26.51
7168	19.48	0.74	4.22	24.91
7680	18.84	0.73	3.94	23.50
8192	18.98	0.73	3.79	22.45

