liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	1.33	1.00	1.32	6.89
768	1.60	0.75	1.55	8.81
1024	1.79	0.75	1.72	9.71
1280	1.88	0.80	1.79	10.29
1536	1.90	0.83	1.80	10.71
1792	1.95	0.83	1.84	10.81
2048	2.00	0.83	1.87	11.10
2304	2.02	0.86	1.88	11.15
2560	2.11	0.86	1.94	11.40
2816	2.02	0.87	1.85	11.01
3072	2.02	0.87	1.85	10.97
3328	2.07	0.87	1.87	11.02
3584	2.06	0.86	1.86	11.06
3840	2.05	0.85	1.83	10.87
4096	2.02	0.87	1.80	10.74
4608	2.01	0.88	1.79	10.57
5120	1.94	0.87	1.71	10.19
5632	1.84	0.89	1.63	9.74
6144	1.83	0.88	1.61	9.55
6656	1.68	0.89	1.50	9.01
7168	1.70	0.89	1.50	9.02
7680	1.64	0.89	1.46	8.74
8192	1.65	0.88	1.45	8.69

