liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.25	0.01	0.26	0
768	0.55	0.03	0.58	0
1024	0.93	0.07	1	0
1280	1.45	0.12	1.57	0
1536	2.03	0.21	2.24	0
1792	2.77	0.32	3.09	0
2048	3.55	0.46	4.01	0
2304	4.5	0.65	5.15	0
2560	5.62	0.88	6.5	0
2816	6.74	1.15	7.89	0
3072	9.13	1.51	10.64	0
3328	9.55	1.85	11.4	0
3584	11.02	2.29	13.31	0
3840	12.57	2.8	15.37	0
4096	14.46	3.37	17.83	0
4608	18.48	4.9	23.38	0
5120	23.02	6.52	29.54	0
5632	27.85	8.51	36.36	0
6144	33.92	11.12	45.04	0
6656	39.29	13.94	53.23	0
7168	47.85	17.61	65.46	0
7680	53.66	21.42	75.08	0
8192	63.1	26.05	89.15	0
9216	80.65	37.04	117.69	0
10240	102.8	50.56	153.36	0
11264	127.9	67.12	195.02	0
12288	157.3	112.2	269.5	0

