liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	1.66	1.00	1.64	3,82
768	1.85	1.00	1.82	3,98
1024	2.01	0.86	1.94	4,08
1280	2.09	0.92	2.00	4,15
1536	2.12	0.90	2.01	4,22
1792	2.17	0.91	2.04	4,17
2048	2.24	0.91	2.09	4,23
2304	2.34	0.97	2.17	4,21
2560	2.39	0.98	2.20	4,32
2816	2.33	1.00	2.14	4,19
3072	2.30	0.96	2.09	4,12
3328	2.33	0.96	2.10	4,12
3584	2.33	0.97	2.09	4,11
3840	2.33	0.97	2.08	4,09
4096	2.29	0.97	2.03	4,04
4608	2.34	0.98	2.05	4,02
5120	2.34	0.96	2.02	3,94
5632	2.29	0.96	1.97	3,90
6144	2.24	0.97	1.92	3,82
6656	2.25	0.96	1.91	3,79
7168	2.25	0.94	1.88	3,74
7680	2.16	0.96	1.81	3,58
8192	2.22	0.96	1.83	3,63
9216	1.89	0.93	1.60	3,35
10240	2.20	1.02	1.81	3,68
11264	2.11	1.05	1.72	3,93
12288	2.46	1.04	1.91	3,77
13312	2.36	1.03	1.83	3,78
14336	2.28	1.03	1.76	3,58

