liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	2.30	1.00	2.25	6.50
768	2.17	1.00	2.11	7.29
1024	2.22	0.86	2.13	7.63
1280	2.18	0.92	2.08	7.75
1536	2.20	0.90	2.08	7.93
1792	2.21	0.94	2.08	7.95
2048	2.26	0.93	2.11	8.03
2304	2.34	0.94	2.16	7.95
2560	2.29	0.93	2.11	8.16
2816	2.22	0.96	2.04	7.91
3072	2.18	0.93	1.99	7.79
3328	2.18	0.94	1.98	7.75
3584	2.18	0.92	1.96	7.74
3840	2.19	0.93	1.96	7.68
4096	2.19	0.93	1.95	7.63
4608	2.20	0.94	1.94	7.38
5120	2.03	0.91	1.79	7.05
5632	2.00	0.90	1.75	6.91
6144	1.94	0.91	1.70	6.63
6656	1.92	0.91	1.67	6.60
7168	1.87	0.91	1.63	6.42
7680	1.95	0.92	1.66	6.67
8192	1.79	0.91	1.55	6.08
9216	1.60	0.91	1.41	5.74
10240	1.83	1.00	1.59	6.60

