liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.76	0.02	0.78	0
768	1.3	0.06	1.36	0
1024	2.02	0.14	2.16	0
1280	2.86	0.25	3.11	0
1536	4.09	0.42	4.51	0
1792	5.42	0.65	6.07	0
2048	7.02	0.86	7.88	0
2304	8.74	1.26	10	0
2560	10.71	1.83	12.54	0
2816	13.04	2.26	15.3	0
3072	15.48	3.07	18.55	0
3328	18.79	3.79	22.58	0
3584	21.58	4.75	26.33	0
3840	24.75	5.77	30.52	0
4096	28.44	6.89	35.33	0
4608	36.96	9.78	46.74	0
5120	48.16	13.55	61.71	0

