liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	0.70	0.50	0.69	7.46
768	0.88	0.50	0.87	9.72
1024	1.03	0.43	1.00	11.44
1280	1.12	0.48	1.07	11.36
1536	1.11	0.45	1.05	11.92
1792	1.13	0.45	1.06	12.11
2048	1.16	0.50	1.09	12.21
2304	1.17	0.48	1.08	12.38
2560	1.21	0.45	1.10	12.70
2816	1.16	0.49	1.06	12.46
3072	1.16	0.45	1.04	12.21
3328	1.13	0.46	1.02	12.08
3584	1.14	0.45	1.01	12.03
3840	1.13	0.45	1.00	11.75
4096	1.11	0.46	0.99	11.81
4608	1.10	0.46	0.97	11.47
5120	1.04	0.45	0.91	10.83

