liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.23	0.01	0.24	0
768	0.53	0.03	0.56	0
1024	0.94	0.07	1.01	0
1280	1.47	0.13	1.6	0
1536	2.07	0.21	2.28	0
1792	2.78	0.31	3.09	0
2048	3.6	0.46	4.06	0
2304	4.36	0.65	5.01	0
2560	5.65	0.88	6.53	0
2816	6.84	1.15	7.99	0
3072	8.25	1.48	9.73	0
3328	9.72	1.86	11.58	0
3584	11.25	2.32	13.57	0
3840	12.81	2.81	15.62	0
4096	14.46	3.4	17.86	0
4608	18.57	4.8	23.37	0
5120	24.56	6.74	31.3	0
5632	30.16	8.91	39.07	0
6144	37.12	11.49	48.61	0
6656	43.72	14.4	58.12	0
7168	52.15	17.98	70.13	0
7680	56.76	21.56	78.32	0
8192	71.75	26.75	98.5	0
9216	100.4	38.23	138.63	0
10240	124.6	51.41	176.01	0

