liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.32	0.01	0.33	0
768	0.62	0.03	0.65	0
1024	1.04	0.07	1.11	0
1280	1.53	0.13	1.66	0
1536	2.15	0.21	2.36	0
1792	2.84	0.32	3.16	0
2048	3.62	0.47	4.09	0
2304	4.36	0.63	4.99	0
2560	5.4	0.84	6.24	0
2816	6.52	1.1	7.62	0
3072	7.83	1.42	9.25	0
3328	9.1	1.81	10.91	0
3584	10.51	2.21	12.72	0
3840	12.05	2.7	14.75	0
4096	13.86	3.28	17.14	0
4608	17.47	4.62	22.09	0
5120	21.32	6.39	27.71	0
5632	26.36	8.37	34.73	0
6144	32.16	10.76	42.92	0
6656	37.31	13.59	50.9	0
7168	43.44	17.39	60.83	0
7680	51.16	20.73	71.89	0
8192	57.83	25.47	83.3	0
9216	84.73	37.17	121.9	0
10240	103.7	50.77	154.47	0
11264	113.7	65.43	179.13	0
12288	131.6	83.79	215.39	0
13312	161.9	107.1	269	0
14336	186.6	133.9	320.5	0

