liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	26.50	0.03	1.46	4.88
768	19.17	0.02	0.87	4.46
1024	20.90	0.02	0.69	3.73
1280	22.86	0.02	0.55	3.15
1536	25.28	0.02	0.46	2.71
1792	21.21	0.02	0.40	2.35
2048	20.30	0.02	0.36	2.10
2304	21.27	0.02	0.32	1.88
2560	23.09	0.02	0.29	1.74
2816	21.39	0.02	0.26	1.55
3072	21.93	0.02	0.24	1.42
3328	19.82	0.02	0.22	1.32
3584	20.25	0.02	0.21	1.23
3840	19.47	0.02	0.19	1.16
4096	19.32	0.02	0.18	1.09
4608	19.35	0.02	0.17	0.98
5120	18.75	0.02	0.15	0.89
5632	19.07	0.02	0.14	0.82
6144	18.86	0.02	0.13	0.75
6656	18.90	0.02	0.12	0.70
7168	18.91	0.02	0.11	0.66
7680	18.13	0.02	0.10	0.61
8192	19.04	0.02	0.10	0.59

