liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	53.00	0.07	3.38	5.66
768	57.50	0.07	2.57	4.80
1024	69.67	0.06	2.05	3.83
1280	64.00	0.06	1.65	3.20
1536	65.00	0.06	1.39	2.75
1792	68.33	0.05	1.19	2.36
2048	67.67	0.05	1.07	2.10
2304	60.06	0.05	0.95	1.88
2560	61.57	0.05	0.87	1.74
2816	50.63	0.05	0.78	1.54
3072	56.19	0.05	0.72	1.43
3328	57.32	0.05	0.67	1.32
3584	54.44	0.05	0.62	1.24
3840	54.98	0.05	0.58	1.16
4096	54.64	0.05	0.55	1.10
4608	55.16	0.05	0.50	1.01
5120	54.21	0.05	0.45	0.91
5632	53.96	0.05	0.41	0.84
6144	53.77	0.05	0.38	0.76
6656	53.92	0.05	0.35	0.71
7168	53.43	0.05	0.33	0.67
7680	53.85	0.05	0.31	0.62
8192	54.51	0.05	0.30	0.59
9216	54.31	0.05	0.26	0.53
10240	61.59	0.05	0.28	0.55
11264	53.89	0.05	0.23	0.53
12288	61.04	0.05	0.24	0.47
13312	61.20	0.05	0.22	0.46
14336	59.43	0.05	0.20	0.42

