liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	26.50	0.04	2.08	5.37
768	38.33	0.05	1.79	4.64
1024	34.83	0.04	1.36	3.82
1280	40.00	0.04	1.11	3.20
1536	32.50	0.04	0.92	2.74
1792	36.18	0.04	0.79	2.37
2048	36.91	0.04	0.71	2.11
2304	37.81	0.04	0.63	1.88
2560	39.18	0.04	0.59	1.75
2816	35.33	0.04	0.52	1.54
3072	35.25	0.03	0.47	1.41
3328	40.02	0.03	0.44	1.32
3584	37.69	0.03	0.41	1.24
3840	37.39	0.03	0.39	1.15
4096	38.18	0.03	0.37	1.09
4608	36.45	0.03	0.33	0.98
5120	35.88	0.03	0.30	0.89
5632	39.25	0.03	0.27	0.82
6144	37.33	0.03	0.25	0.75
6656	37.39	0.03	0.23	0.70
7168	37.75	0.03	0.22	0.66
7680	36.56	0.03	0.20	0.61
8192	37.03	0.03	0.20	0.59
9216	37.08	0.03	0.18	0.53
10240	42.24	0.03	0.18	0.55
11264	36.50	0.03	0.15	0.53
12288	42.87	0.03	0.16	0.47

