liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.02	0.78	0.8	0
768	0.07	2.53	2.6	0
1024	0.15	5.95	6.1	0
1280	0.28	11.68	11.96	0
1536	0.35	20.25	20.6	0
1792	0.49	31.77	32.26	0
2048	0.69	47.71	48.4	0
2304	0.94	67.67	68.61	0
2560	1.11	92.84	93.95	0
2816	1.27	123.4	124.67	0
3072	1.76	160.6	162.36	0
3328	1.93	203.8	205.73	0
3584	2.32	254.5	256.82	0
3840	2.68	312.9	315.58	0
4096	3.17	380.5	383.67	0
4608	4.08	542.2	546.28	0
5120	4.82	746.1	750.92	0

