liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.01	0.15	0.16	0
768	0.02	0.44	0.46	0
1024	0.03	1.02	1.05	0
1280	0.05	1.96	2.01	0
1536	0.07	3.34	3.41	0
1792	0.09	5.31	5.4	0
2048	0.12	7.88	8	0
2304	0.17	11.24	11.41	0
2560	0.21	15.61	15.82	0
2816	0.3	20.67	20.97	0
3072	0.32	26.57	26.89	0
3328	0.37	33.74	34.11	0
3584	0.45	42.18	42.63	0
3840	0.51	52.29	52.8	0
4096	0.58	63.06	63.64	0
4608	0.74	89.91	90.65	0
5120	0.92	124.3	125.22	0
5632	1.12	165.9	167.02	0
6144	1.34	215.7	217.04	0
6656	1.56	275.8	277.36	0
7168	1.83	343.7	345.53	0
7680	2.05	422	424.05	0
8192	2.35	512.4	514.75	0
9216	2.95	739.9	742.85	0
10240	3.71	1013	1016.71	0
11264	4.45	1336	1340.45	0
12288	5.31	1732	1737.31	0
13312	6.23	2207	2213.23	0
14336	7.17	2756	2763.17	0

