liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.02	0.28	0.3	0
768	0.04	0.89	0.93	0
1024	0.07	2.07	2.14	0
1280	0.1	3.93	4.03	0
1536	0.14	6.77	6.91	0
1792	0.18	10.61	10.79	0
2048	0.25	15.85	16.1	0
2304	0.38	22.37	22.75	0
2560	0.44	30.82	31.26	0
2816	0.52	40.98	41.5	0
3072	0.65	53.19	53.84	0
3328	0.77	67.66	68.43	0
3584	0.85	85.05	85.9	0
3840	1.02	103.9	104.92	0
4096	1.15	127.4	128.55	0
4608	1.46	181.5	182.96	0
5120	1.74	249.4	251.14	0
5632	2.19	333.1	335.29	0
6144	2.58	432.8	435.38	0
6656	3.01	551.3	554.31	0
7168	3.49	691.6	695.09	0
7680	3.93	849.5	853.43	0
8192	4.51	1031	1035.51	0
9216	5.73	1471	1476.73	0
10240	7.06	2021	2028.06	0

