liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	
512	0.02	0.24	0.26	0
768	0.03	0.63	0.66	0
1024	0.06	1.52	1.58	0
1280	0.08	2.91	2.99	0
1536	0.14	5.02	5.16	0
1792	0.17	7.95	8.12	0
2048	0.22	11.8	12.02	0
2304	0.27	16.89	17.16	0
2560	0.33	23.14	23.47	0
2816	0.43	31.1	31.53	0
3072	0.51	40.28	40.79	0
3328	0.53	51.52	52.05	0
3584	0.65	63.59	64.24	0
3840	0.75	78.29	79.04	0
4096	0.83	94.53	95.36	0
4608	1.12	135.3	136.42	0
5120	1.39	186.3	187.69	0
5632	1.54	248.3	249.84	0
6144	1.93	325.2	327.13	0
6656	2.25	412.3	414.55	0
7168	2.59	514.9	517.49	0
7680	3.02	636.5	639.52	0
8192	3.46	773.5	776.96	0
9216	4.32	1103	1107.32	0
10240	5.41	1516	1521.41	0
11264	6.57	2016	2022.57	0
12288	7.56	2616	2623.56	0

