liczba niewiadomych	czas wypelniania[s]	czas rozwiazywania[s]	czas calkowity(suma)[s]	Gain
512	26.50	0.01	0.68	4.99
768	16.43	0.01	0.45	4.59
1024	13.93	0.01	0.35	3.75
1280	11.43	0.01	0.28	3.15
1536	13.00	0.01	0.23	2.70
1792	12.55	0.01	0.20	2.34
2048	11.77	0.01	0.18	2.08
2304	10.86	0.01	0.16	1.87
2560	11.65	0.01	0.15	1.74
2816	11.96	0.01	0.13	1.55
3072	10.22	0.01	0.12	1.42
3328	10.99	0.01	0.11	1.32
3584	10.56	0.01	0.10	1.24
3840	10.46	0.01	0.10	1.16
4096	10.00	0.01	0.09	1.09
4608	10.00	0.01	0.08	0.98
5120	10.35	0.01	0.07	0.89

